objectid,filename,title,creator,description,subject,source,identifier,type,format,language,rights,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
C001001,c001001.jpg,Collection,Madison Roberts,shelves of books,puzzles,Photo from personal collection,C001001,Image;StillImage,image/jpeg,English,Copyright held by Girl Scout Museum at Daisys Place. Contact museum for permissions for reuse.,image,/objects/c001001.jpg,/objects/c001001.jpg,/objects/c001001.jpg,alt,
C001002,c001002.jpg,Tutti-Frutti,Piecework Puzzles,still life of fruit and flowers,fruit and flowers,Photo from personal collection,C001002,500 piece,image/jpeg,English,Copyright held by Girl Scout Museum at Daisys Place. Contact museum for permissions for reuse.,image,/objects/c001002.jpg,/objects/c001002.jpg,/objects/c001002.jpg,alt,
C001003,c001003.jpg,The World of King Arthur,Adam Simpson,mural featuring figures and scenes from Arthurian myth,King Arthur,Photo from personal collection,C001003,1000 piece,image/jpeg,English,Copyright held by Girl Scout Museum at Daisys Place. Contact museum for permissions for reuse.,image,/objects/c001003.jpg,/objects/c001003.jpg,/objects/c001003.jpg,alt,
C001004,c001004.jpg,Villainous: Lady Tremaine,Ravensburger,parlor with piano and pictures from Cinderella,Lady Tremaine from Cinderella,Photo from personal collection,C001004,1000 piece,image/jpeg,English,Copyright held by Girl Scout Museum at Daisys Place. Contact museum for permissions for reuse.,image,/objects/cC001004.jpg,/objects/cC001004.jpg,/objects/cC001004.jpg,alt,
C001005,c001005.jpg,Beauty Guru,Buffalo: Aimee Stewart,"table with computer, makeup pallets, brushes, and accessories",makeup,Photo from personal collection,C001005,1000 piece,image/jpeg,English,Copyright held by Girl Scout Museum at Daisys Place. Contact museum for permissions for reuse.,image,/objects/c001005.jpg,/objects/c001005.jpg,/objects/c001005.jpg,alt,
C001006,c001006.jpg,Where's Waldo?,Aquarius,people at park,Waldo,Photo from personal collection,C001006,3000 piece,image/jpeg,English,Copyright held by Girl Scout Museum at Daisys Place. Contact museum for permissions for reuse.,image,/objects/c001006.jpg,/objects/c001006.jpg,/objects/c001006.jpg,alt,
C001007,c001007.jpg,Disney Parks Panorama,Disney,characters from Disney and Disney Parks rides,Disney,Photo from personal collection,C001007,500 piece,image/jpeg,English,Copyright held by Girl Scout Museum at Daisys Place. Contact museum for permissions for reuse.,image,/objects/c001007.jpg,/objects/c001007.jpg,/objects/c001007.jpg,alt,
C001008,c001008.jpg,Horror Books,Re-marks,collage of the covers of horror books,horror books,Photo from personal collection,C001008,1000 piece,image/jpeg,English,Copyright held by Girl Scout Museum at Daisys Place. Contact museum for permissions for reuse.,image,/objects/c001008.jpg,/objects/c001008.jpg,/objects/c001008.jpg,alt,
C001009,c001009.jpg,Shakespearian Insults,The Unemployed Philosophers Guild,collage of Shakespearian insult quotes with bust of Shakespeare in center,Shakespeare quotes,Photo from personal collection,C001009,1000 piece,image/jpeg,English,Copyright held by Girl Scout Museum at Daisys Place. Contact museum for permissions for reuse.,image,/objects/c001009.jpg,/objects/c001009.jpg,/objects/c001009.jpg,alt,
C001010,c001010.jpg,Minifigure Faces,LEGO,collage of yellow LEGO minifigure faces,LEGOs,Photo from personal collection,C001010,1000 piece,image/jpeg,English,Copyright held by Girl Scout Museum at Daisys Place. Contact museum for permissions for reuse.,image,/objects/c001010.jpg,/objects/c001010.jpg,/objects/c001010.jpg,alt,
C001011,c001011.jpg,Merry Mushroom Village Picnic,Buffalo: Aimee Stewart,mushroom village with fairies,fairies,Photo from personal collection,C001011,2000 piece,image/jpeg,English,Copyright held by Girl Scout Museum at Daisys Place. Contact museum for permissions for reuse.,image,/objects/c001011.jpg,/objects/c001011.jpg,/objects/c001011.jpg,alt,
C001012,c001012.jpg,"Please, please leave the lid off",Buffalo: Cats,cats on a counter staring at a strawberry shortcake under glass,cats,Photo from personal collection,C001012,750 pieces,image/jpeg,English,Copyright held by Girl Scout Museum at Daisys Place. Contact museum for permissions for reuse.,image,/objects/c001012.jpg,/objects/c001012.jpg,/objects/c001012.jpg,alt,
